id_venda,id_cliente,id_produto,id_vendedor,valor_venda
1,10932,7867,6380,313.74
2,2589,5389,1967,502.61
3,16084,14172,19027,729.44
4,11514,1311,6071,400.38
5,5694,9434,10134,456.05
6,2666,10871,695,767.99
7,18037,11785,9979,563.69
8,19733,2021,19267,68.81
9,13406,7254,1067,973.27
10,12331,4045,2904,422.16
11,10099,6783,17908,797.4
12,19947,13078,11436,253.21
13,7642,8947,4563,888.85
14,7419,5603,10108,197.49
15,3160,9933,13688,741.66
16,1682,6691,7419,821.12
17,19589,9490,6596,437.93
18,6115,5986,14255,523.92
19,5513,9267,11766,418.88
20,10931,6518,12940,681.39
21,10658,2320,14224,713.58
22,14920,17968,14546,796.57
23,15972,9601,18983,111.45
24,3516,13670,4154,451.13
25,19205,7657,6681,363.67
26,5640,8886,12522,473.34
27,11095,3881,9257,229.25
28,10922,6390,11995,382.7
29,4481,12882,5973,916.29
30,14130,15142,472,965.22
31,3859,2012,9339,58.38
32,7883,8074,4192,136.05
33,7385,8210,9283,525.03
34,9093,2309,8053,423.01
35,7507,13486,5319,588.41
36,14518,12939,9636,935.06
37,4213,9602,10956,312.64
38,12466,18862,11874,750.86
39,3953,19908,8085,86.2
40,8637,2589,443,908.08
41,15217,3475,461,269.15
42,5548,3909,16169,309.41
43,6034,5132,13333,584.73
44,8328,946,15670,363.79
45,2340,14922,9028,613.22
46,19773,9480,19931,882.5
47,1868,14919,6654,781.55
48,5796,833,19783,232.09
49,19357,14195,2061,865.16
50,5011,4913,2246,219.63
51,226,16261,10724,138.41
52,17485,17603,10953,796.37
53,11493,6866,5358,551.22
54,1436,5183,2842,288.46
55,8960,11553,10498,369.24
56,18734,10454,161,861.48
57,1716,12755,2916,379.52
58,8180,1670,17176,435.04
59,15090,13690,5690,770.8
60,11767,4440,5879,342.23
61,6121,18450,8106,646.81
62,11953,9495,8734,682.82
63,15796,13325,12382,295.23
64,11854,11395,8275,521.89
65,10193,12150,12081,69.86
66,10638,15432,11804,204.57
67,1637,4608,7133,885.07
68,14376,9885,10305,339.05
69,2624,19549,14245,325.61
70,10511,9699,3033,505.43
71,11341,18665,17375,259.83
72,13068,1513,11021,632.08
73,12008,7785,8278,375.68
74,16060,19379,4605,991.83
75,15887,891,17525,881.89
76,2816,5482,5998,991.05
77,10720,8991,16333,624.28
78,3122,14791,17547,524.89
79,12071,16316,18197,498.4
80,16799,17769,8386,96.7
81,1897,12274,17588,620.14
82,19619,1846,15755,608.15
83,16578,12042,6791,567.04
84,18293,16080,9491,667.09
85,261,18590,17762,333.57
86,5,15167,6730,117.52
87,2889,15821,15347,788.38
88,1898,2896,6911,493.85
89,19464,13178,280,703.52
90,9670,17550,18212,709.52
91,12572,14102,16325,539.91
92,15342,11326,10861,412.85
93,4047,2556,1668,519.66
94,10242,10423,2359,73.47
95,12017,4534,6017,484.3
96,14065,7527,14381,72.7
97,19349,689,14490,333.66
98,5920,2059,4331,387.41
99,1037,983,15689,121.57
100,7876,16180,4648,441.12
101,2580,16672,15198,564.17
102,7189,1904,555,319.83
103,3032,7599,3370,311.2
104,2604,19059,9364,581.7
105,256,3048,17376,840.6
106,4215,17364,6489,412.5
107,5178,17761,2976,477.98
108,14026,15995,1349,569.31
109,6203,15173,8277,762.05
110,5040,8239,5366,581.44
111,11991,7152,15447,290.03
112,3420,14749,5047,399.41
113,7607,11611,4839,612.93
114,8162,10088,9181,736.53
115,3313,2406,11922,307.84
116,18212,5739,16508,202.6
117,217,8915,6837,961.6
118,6545,1453,4383,788.26
119,12895,4702,1911,829.11
120,11796,14799,13512,902.93
121,11376,18527,3862,251.39
122,17756,4986,8515,557.22
123,7468,1274,17460,849.02
124,8493,1937,6008,443.0
125,11176,15556,9152,840.27
126,14230,1995,6655,407.67
127,13380,8676,7728,140.2
128,11011,14874,8291,182.74
129,382,11204,14414,874.27
130,11804,19804,3165,839.58
131,12424,8126,14935,494.22
132,9914,13936,11264,196.44
133,5400,1463,6560,813.21
134,840,9140,4425,682.69
135,3448,5031,19922,681.76
136,4819,6551,4085,652.08
137,8777,3270,19762,879.5
