data_id,data,dia_semana,mes,ano
1,2022-03-31,Thursday,March,2022
2,2021-04-17,Saturday,April,2021
3,2022-01-06,Thursday,January,2022
4,2021-02-07,Sunday,February,2021
5,2019-09-22,Sunday,September,2019
6,2020-12-18,Friday,December,2020
7,2020-05-21,Thursday,May,2020
8,2022-07-22,Friday,July,2022
9,2022-02-11,Friday,February,2022
10,2022-04-15,Friday,April,2022
11,2022-03-01,Tuesday,March,2022
12,2020-08-26,Wednesday,August,2020
13,2019-10-22,Tuesday,October,2019
14,2020-06-11,Thursday,June,2020
15,2021-11-03,Wednesday,November,2021
16,2023-04-02,Sunday,April,2023
17,2022-05-08,Sunday,May,2022
18,2023-08-08,Tuesday,August,2023
19,2022-01-28,Friday,January,2022
20,2019-06-08,Saturday,June,2019
21,2020-03-19,Thursday,March,2020
22,2022-05-26,Thursday,May,2022
23,2021-02-03,Wednesday,February,2021
24,2019-08-10,Saturday,August,2019
25,2019-09-21,Saturday,September,2019
26,2022-04-19,Tuesday,April,2022
27,2021-07-18,Sunday,July,2021
28,2021-06-03,Thursday,June,2021
29,2021-01-17,Sunday,January,2021
30,2021-04-05,Monday,April,2021
31,2021-04-03,Saturday,April,2021
32,2020-02-04,Tuesday,February,2020
33,2019-07-22,Monday,July,2019
34,2022-05-12,Thursday,May,2022
35,2021-10-27,Wednesday,October,2021
36,2021-03-08,Monday,March,2021
37,2023-01-04,Wednesday,January,2023
38,2019-11-15,Friday,November,2019
39,2023-01-14,Saturday,January,2023
40,2019-08-11,Sunday,August,2019
41,2021-03-04,Thursday,March,2021
42,2020-09-13,Sunday,September,2020
43,2022-04-29,Friday,April,2022
44,2018-12-05,Wednesday,December,2018
45,2022-04-06,Wednesday,April,2022
46,2020-07-25,Saturday,July,2020
47,2019-10-16,Wednesday,October,2019
48,2021-10-20,Wednesday,October,2021
49,2018-09-24,Monday,September,2018
50,2019-06-19,Wednesday,June,2019
51,2020-01-11,Saturday,January,2020
52,2019-11-20,Wednesday,November,2019
53,2021-01-23,Saturday,January,2021
54,2020-10-09,Friday,October,2020
55,2019-07-23,Tuesday,July,2019
56,2018-08-26,Sunday,August,2018
57,2019-08-21,Wednesday,August,2019
58,2019-09-04,Wednesday,September,2019
59,2020-09-09,Wednesday,September,2020
60,2020-05-29,Friday,May,2020
61,2020-12-16,Wednesday,December,2020
62,2023-02-21,Tuesday,February,2023
63,2022-05-20,Friday,May,2022
64,2020-09-06,Sunday,September,2020
65,2021-09-17,Friday,September,2021
66,2020-05-12,Tuesday,May,2020
67,2019-09-12,Thursday,September,2019
68,2023-02-09,Thursday,February,2023
69,2020-08-05,Wednesday,August,2020
70,2020-01-18,Saturday,January,2020
71,2022-05-04,Wednesday,May,2022
72,2019-12-02,Monday,December,2019
73,2021-10-15,Friday,October,2021
74,2020-03-31,Tuesday,March,2020
75,2020-11-06,Friday,November,2020
76,2021-03-01,Monday,March,2021
77,2020-08-06,Thursday,August,2020
78,2019-06-29,Saturday,June,2019
79,2019-09-24,Tuesday,September,2019
80,2021-07-05,Monday,July,2021
81,2021-03-12,Friday,March,2021
82,2022-07-17,Sunday,July,2022
83,2018-11-20,Tuesday,November,2018
84,2021-08-06,Friday,August,2021
85,2020-01-28,Tuesday,January,2020
86,2020-02-20,Thursday,February,2020
87,2022-09-14,Wednesday,September,2022
88,2019-09-15,Sunday,September,2019
89,2023-06-21,Wednesday,June,2023
90,2019-12-07,Saturday,December,2019
91,2020-01-19,Sunday,January,2020
92,2018-10-06,Saturday,October,2018
93,2019-08-24,Saturday,August,2019
94,2022-08-10,Wednesday,August,2022
95,2020-01-27,Monday,January,2020
96,2022-11-27,Sunday,November,2022
97,2019-03-04,Monday,March,2019
98,2020-02-05,Wednesday,February,2020
99,2023-06-26,Monday,June,2023
100,2020-03-05,Thursday,March,2020
101,2020-03-01,Sunday,March,2020
102,2022-05-19,Thursday,May,2022
103,2021-01-27,Wednesday,January,2021
104,2019-07-02,Tuesday,July,2019
105,2020-11-02,Monday,November,2020
106,2018-12-10,Monday,December,2018
107,2018-11-19,Monday,November,2018
108,2019-02-16,Saturday,February,2019
109,2022-10-13,Thursday,October,2022
110,2023-04-26,Wednesday,April,2023
111,2019-06-10,Monday,June,2019
112,2018-12-03,Monday,December,2018
113,2022-12-15,Thursday,December,2022
114,2018-11-02,Friday,November,2018
115,2022-05-14,Saturday,May,2022
116,2020-08-05,Wednesday,August,2020
117,2018-11-25,Sunday,November,2018
118,2018-10-05,Friday,October,2018
