id_produto,nome_produto,categoria,preco
1,Roteador 260,Informática,886.91
2,Processador 756,Eletrônicos,77.37
3,Roteador 715,Eletrônicos,966.21
4,Processador 947,Informática,284.01
5,Notebook 118,Informática,207.85
6,SSD 797,Informática,222.75
7,Teclado 748,Eletrônicos,79.22
8,Desktop 263,Informática,790.8
9,Placa de Vídeo 457,Informática,677.25
10,Placa de Vídeo 748,Informática,466.86
11,Monitor 238,Informática,487.04
12,Teclado 162,Informática,986.69
13,Notebook 848,Informática,364.2
14,Monitor 312,Eletrônicos,586.52
15,Desktop 264,Eletrônicos,577.44
16,Desktop 356,Eletrônicos,369.16
17,Monitor 563,Eletrônicos,783.5
18,Desktop 775,Informática,997.16
19,Monitor 234,Informática,822.3
20,SSD 880,Informática,448.41
21,Processador 377,Eletrônicos,869.0
22,Processador 753,Informática,344.78
23,Processador 620,Eletrônicos,320.77
24,Desktop 212,Eletrônicos,63.32
25,Desktop 187,Eletrônicos,204.41
26,Placa de Vídeo 621,Informática,900.19
27,Teclado 119,Eletrônicos,504.77
28,Processador 937,Informática,66.16
29,Monitor 841,Informática,397.85
30,Roteador 262,Informática,780.17
31,Impressora 323,Informática,370.92
32,Impressora 784,Informática,612.91
33,Impressora 347,Eletrônicos,257.85
34,Notebook 852,Informática,554.72
35,Notebook 685,Informática,664.28
36,Desktop 951,Informática,871.97
37,SSD 319,Informática,503.13
38,Monitor 705,Informática,238.19
39,Notebook 464,Eletrônicos,133.33
40,Notebook 771,Informática,713.73
41,Roteador 142,Eletrônicos,291.37
42,Roteador 146,Informática,149.14
43,SSD 675,Eletrônicos,386.59
44,SSD 271,Eletrônicos,270.32
45,Desktop 775,Eletrônicos,380.22
46,Teclado 449,Eletrônicos,560.6
47,Roteador 691,Informática,712.03
48,Impressora 511,Informática,500.56
49,Notebook 375,Informática,367.25
50,Processador 929,Eletrônicos,619.58
51,Mouse 230,Informática,297.38
52,Teclado 458,Eletrônicos,329.9
53,Processador 400,Eletrônicos,584.5
54,Monitor 447,Eletrônicos,867.49
55,SSD 284,Eletrônicos,436.8
56,Roteador 686,Informática,149.16
57,Desktop 870,Eletrônicos,231.86
58,Impressora 177,Informática,680.97
59,Impressora 771,Eletrônicos,585.28
60,Notebook 381,Eletrônicos,330.62
61,Teclado 592,Eletrônicos,563.48
62,SSD 581,Informática,568.68
63,Placa de Vídeo 101,Eletrônicos,766.69
64,Mouse 748,Informática,467.12
65,Teclado 669,Eletrônicos,119.5
66,SSD 425,Eletrônicos,657.63
